time,value,shandong_avgtemp,shandong_rhhi,value__autocorrelation__lag_0
2023-05-01 00:00:00,95436,,43.099179,1.0
2023-05-02 00:00:00,77292,,55.510489,1.0
2023-05-03 00:00:00,73577,,84.472275,1.0
2023-05-04 00:00:00,73821,,97.167392,1.0
2023-05-05 00:00:00,83259,,74.619745,1.0
2023-05-06 00:00:00,91485,,54.947283,1.0
2023-05-07 00:00:00,60490,,48.272932,1.0
2023-05-08 00:00:00,61101,,48.393587,1.0
2023-05-09 00:00:00,70454,,51.972712,1.0
2023-05-10 00:00:00,96484,,53.976633,1.0
2023-05-11 00:00:00,102686,,50.195778,1.0
2023-05-12 00:00:00,95595,,56.00545,1.0
2023-05-13 00:00:00,65708,,62.688538,1.0
2023-05-14 00:00:00,86136,,60.544954,1.0
2023-05-15 00:00:00,115861,,56.423671,1.0
2023-05-16 00:00:00,110302,,54.213441,1.0
2023-05-17 00:00:00,93826,,70.489074,1.0
2023-05-18 00:00:00,103582,,81.639654,1.0
2023-05-19 00:00:00,108336,,66.683173,1.0
2023-05-20 00:00:00,107752,,55.331665,1.0
2023-05-21 00:00:00,92690,,56.939266,1.0
2023-05-22 00:00:00,79320,,52.584865,1.0
2023-05-23 00:00:00,62026,,45.532683,1.0
2023-05-24 00:00:00,66267,,51.797958,1.0
2023-05-25 00:00:00,89526,,72.55967,1.0
2023-05-26 00:00:00,84805,,77.921163,1.0
2023-05-27 00:00:00,74697,,92.449092,1.0
2023-05-28 00:00:00,65240,,94.821947,1.0
2023-05-29 00:00:00,102836,,82.520479,1.0
2023-05-30 00:00:00,95732,,80.389182,1.0
2023-05-31 00:00:00,90644,,72.443559,1.0
2023-06-01 00:00:00,93989,,64.615337,1.0
2023-06-02 00:00:00,115498,,61.336421,1.0000000000000002
2023-06-03 00:00:00,96750,,49.970701,1.0000000000000002
2023-06-04 00:00:00,83419,,67.152731,1.0000000000000002
2023-06-05 00:00:00,81980,,67.063063,1.0
2023-06-06 00:00:00,88469,,57.192547,1.0
2023-06-07 00:00:00,88172,,54.566875,1.0
2023-06-08 00:00:00,96587,,41.552702,1.0
2023-06-09 00:00:00,91702,,42.966457,1.0
2023-06-10 00:00:00,72479,,53.881463,1.0
2023-06-11 00:00:00,71199,,62.098458,1.0
2023-06-12 00:00:00,68765,,67.377884,1.0
2023-06-13 00:00:00,59923,,61.951545,1.0
2023-06-14 00:00:00,74780,,53.627077,1.0
2023-06-15 00:00:00,62740,,51.275372,1.0
2023-06-16 00:00:00,97653,,56.73554,1.0
2023-06-17 00:00:00,100125,,70.274945,1.0
2023-06-18 00:00:00,85936,,71.066983,1.0
2023-06-19 00:00:00,68975,,87.339713,1.0
2023-06-20 00:00:00,61478,,71.472569,1.0
2023-06-21 00:00:00,73484,,51.410543,1.0
2023-06-22 00:00:00,73910,,43.783844,1.0
2023-06-23 00:00:00,96742,,47.265787,1.0
2023-06-24 00:00:00,109116,,55.963311,1.0
2023-06-25 00:00:00,93138,,81.101645,1.0
2023-06-26 00:00:00,73203,,69.967506,1.0
2023-06-27 00:00:00,90686,,67.985591,1.0
2023-06-28 00:00:00,107769,,82.024463,1.0
2023-06-29 00:00:00,89411,,80.491675,1.0
2023-06-30 00:00:00,79436,,64.46715,1.0
2023-07-01 00:00:00,75609,,64.555944,1.0
2023-07-02 00:00:00,65488,,74.418956,1.0
2023-07-03 00:00:00,94944,,85.981268,1.0
2023-07-04 00:00:00,117028,,82.184101,1.0
2023-07-05 00:00:00,101300,,52.35249,1.0
2023-07-06 00:00:00,80347,,68.465574,1.0
2023-07-07 00:00:00,90474,,71.475675,1.0
2023-07-08 00:00:00,107557,,70.430685,1.0
2023-07-09 00:00:00,117488,,65.348712,1.0000000000000002
2023-07-10 00:00:00,102513,,74.703337,0.9999999999999999
2023-07-11 00:00:00,87741,,82.124741,1.0
2023-07-12 00:00:00,91032,,94.214216,1.0
2023-07-13 00:00:00,108394,,88.761063,1.0
2023-07-14 00:00:00,126164,,67.408931,1.0
